select count(distinct Trs) tcount, WdID||' '||Ex comb, json_group_array(distinct Trs) from examples group by comb having tcount > 1 order by tcount desc;
tcount	comb	json_group_array(distinct Trs)
2	9871 タ⸢タ⸣レー　⸣ミサムヌ	["(祟ればよいのに)","(祟れば良いのに)"]
2	9836 ヤー⸢ディン⸣　タ⸢ジナイ⸣リ	["(必ず訪ねなさい)","(必ず探し訪ねよ)"]
2	896 ア⸢バイヤー⸣　ミサムヌ	["(溢れたらいいのに)","(溢れればいいのに)"]
2	8608 ⸣シル　⸣パルン	["(汁が出る<流れる{EOS}走る>)","(汁が出る<流れる>)"]
2	8475 ⸣シミバ	["(締めよ)","(責めよ)"]
2	8000 シ⸢チ⸣ニー	["(つちのえ<戊>、つちのと<己>)","(十干の戊<つちのえ>{EOS}己<つちのと>)"]
2	7578 フ⸢タシゥカミ	["(二掴み)","(二つかみ)"]
2	7436 ⸢シシケー⸣　ミサムヌ	["(折檻すれば良いのに)","(叩いて指導すればいいのに)"]
2	7238 ⸣パトゥザヌ　⸣シー	["(鳩の巣)","(土鳩の巣)"]
2	6743 ⸢マー⸣ビン　⸢サイヤー⸣　ミサムヌ	["(もっと注げば良いのに)","(もっと注げばよいのに)"]
2	6741 ⸢マイ⸣　サウン	["(稲を\\ruby{扱}{シゴ}く)","(稲を扱く)"]
2	6611 ⸢シンダイ　コー⸣　ナルン	["(次第に固くなる)","(次第に硬くなる)"]
2	6169 グ⸢マ⸣ムヌ	["(小さな物{EOS}小物)","(小さいもの)"]
2	5833 ⸢クイヤー⸣　ミサムヌ	["(越えればよいのに)","(越えたら良いのに)"]
2	5823 ⸣クレー　⸣ミサムヌ	["(刳ればよいのに)","(刳れば良いのに)"]
2	5781 グ⸢ニン	["(五年)","(五人)"]
2	5239 ⸢ナン⸣ゾー　⸣キツァー　⸢ナー⸣ヌ	["(それほど厳しくない)","(あまりきつくない)"]
2	517 ア⸢キレー⸣　ミサムヌ	["(飽きればいいのに)","(飽きれば良いのに)"]
2	510 ア⸢キパティル⸣　クトー　⸢ナー⸣ヌ	["(呆れ果てることはない)","(厭き果てることは無い)"]
2	4888 カ⸢レー　ター⸣ヤ	["(あの人<あれ{EOS}彼>は誰か)","(彼は誰か)"]
2	4379 カ⸢タミヤッ⸣サン	["(固めやすい)","(決めやすい<固めやすい>)"]
2	4275 ティ⸢ダ⸣ヌ　カ⸢タ⸣カ	["(太陽の陰{EOS}日蔭{EOS}日光の当たらない所)","(日除け)"]
2	425 プ⸢ス⸣　ア⸢ガミ⸣ル　⸣クトゥ	["(他人を崇める<敬う>こと)","(他人を崇めること)"]
2	425 ⸢マー⸣ビン　ア⸢ガミ⸣レー　⸣ミサムヌ	["(もっと崇めれば<敬えば>良いのに)","(もっと崇めれば良いのに)"]
2	4201 ⸢カシカー⸣シェー　⸣ミサムヌ	["(騙せば<賺せば>良いのに)","(騙せば良いのに)"]
2	4176 ⸢カシカシマー⸣シェー　⸣ミサムヌ	["(賺し騙せば良いのに)","(宥め賺せばよいのに)"]
2	4107 ギッ⸢ティ⸣　カ⸢サメー⸣　ミサムヌ	["(ぎゅっと掴めば良いのに)","(ギュット掴めばよいのに)"]
2	4107 ⸢ヌシ⸣トゥル　カ⸢サムン	["(泥棒を捕まえる)","(泥棒を捕まえる＜捕縛する＞)"]
2	3972 カ⸢キッツァー⸣シバ	["(書き散らせよ)","(書き散らせ)"]
2	3721 ⸣カイブ　⸣クトー　ス⸢ナ⸣ヨー	["(こんなことはするなよ)","(こんな事はするなよ)"]
2	3710 ⸣カイニ　⸢シー⸣バ	["(こう<このように>しなさいよ)","(このように<こう>しなさいよ)"]
2	3044 ⸣ウビブカラ	["(それくらい{EOS}程度)","(それぐらい)"]
2	3044 ⸢ジン⸣マー　ウ⸢ビ⸣ル　⸣アル	["(お金はこれだけしかない<これだけがある>)","(お金はそれだけしかない<それだけがある>)"]
2	2954 ⸢パー⸣ク　ウ⸢テー⸣　ミサムヌ	["(早く鍋を下ろせばよいのに)","(早く鍋を竈から移せばいいのに)"]
2	2919 ⸣ウマーラ　⸣ウテー　⸣ミサムヌ	["(そこから落ちればいいのに)","(そこから落ちれば良いのに)"]
2	2913 ⸢ウッふィ⸣バ	["(溺れろ)","(溺れろよ)"]
2	2822 ウ⸢ダラ⸣ケー　⸣ミサムヌ	["(驚けば良いのに)","(驚けばよいのに)"]
2	2810 ⸣ガバー　ウ⸢タ⸣スン	["(垢を落とす)","(垢を落す)"]
2	280 ⸢アウナシェー⸣　ミサムヌ	["(容器を空にすれば良いのに)","(空にすればいいのに)"]
2	2795 ウ⸢タイヨー⸣リ	["(仰せられよ)","(ご命令なされませ)"]
2	27 ⸢アーシェー⸣　ミサムヌ	["(揺すって落とせばいいのに)","(落とせば良いのに)"]
2	2678 ウ⸢シナイヤー⸣　ミサムヌ	["(失えば良いのに)","(失えばよいのに)"]
2	2623 ウ⸢サッキ⸣レー　⸣ミサムヌ	["(乗っければ <置いておけば> いいのに)","(立てかければよいのに)"]
2	2531 ウ⸢ギナイヤー⸣　ミサムヌ	["(補えばいいのに)","(補えば良いのに)"]
2	2420 ⸢ワー⸣　ウーカー　⸢バン⸣ヌン　⸣ウーン	["(君が泳いだら僕も泳ぐ)","(君が泳いだら私も泳ぐ)"]
2	2418 ウ⸢ヤ⸣ヌ　シ⸢ビ　ウーン	["(親の後<尻>を追う)","(幼児が親の後を追う)"]
2	2391 ⸢ウイパラ⸣シェー　⸣ミサムヌ	["(追っ払えばいいのに)","(追い払えばよいのに)"]
2	2328 ⸢ウイコーシェー⸣　ミサムヌ	["(追い越せばよいのに)","(追い越せば良いのに)"]
2	17587 ⸢パー⸣ク　ヤ⸢メー⸣　ミサムヌ	["(早く止めばいいのに)","(早くやめればいいのに)"]
2	16874 ⸢パー⸣ク　ム⸢チナ⸣シェー　⸣ミサムヌ	["(早く移せばいいのに)","(早く移動すれば良いのに)"]
2	1670 ⸢イシゥカー　ナー⸣ヌ	["(少なくない)","(短くない{EOS}少なくない)"]
2	1670 ⸢イシゥ⸣カー　⸣クトー　⸢ナー⸣ヌ	["(少ないことはない)","(短い、少ない、ことはない)"]
2	1622 ⸢クー⸣ナ	["(来るな)","(漕ぐな)"]
2	1569 イ⸢キザーサ⸣ヌ　⸣ウナー　ブ⸢ララヌ	["(息苦しくて、そこにはおれない)","(息苦しくて、そこには居れない)"]
2	15643 ⸢マー⸣ビン　⸢ホイナ⸣ケー　⸣ミサムヌ	["(もっと掻っ込めばいいのに)","(もっとかっ込めばいいのに)"]
2	15323 ク⸢シブニ	["(脊椎<腰骨>)","(脊椎{EOS}腰骨)"]
2	1433 ⸢マー⸣ビン　⸢アンゲー⸣　ミサムヌ	["(もっと揚げればいいのに)","(もっと上げれば良いのに)"]
2	1433 ⸢パー⸣ク　⸢アンギ	["(早く揚げろ)","(早く上げろ)"]
2	13991 ⸢ピー⸣シケー　⸣ミサムヌ	["(焦げ付けばいいのに)","(焦げつけばいいのに)"]
2	13991 ⸢ピー⸣シキ　⸢ナー⸣ヌ	["(焦げ付いてしまった)","(焦げてしまった)"]
2	13900 ⸣ドゥーシ　⸢パンツァシ	["(自分で解け<外せ>)","(自分で解け)"]
2	12895 ⸢ハーガラ⸣シェー　⸣ミサムヌ	["(浅瀬に乗り上げれば良いのに)","(座礁させれば良いのに)"]
2	12714 ⸢ヌシ⸣トゥレー　⸣ミサムヌ	["(盗めば良いのに)","(盗めばいいのに)"]
2	12572 ク⸢レー　ヌー⸣シ　⸢スーワ	["(これはどのようにするのか)","(これは、どのようにするのか)"]
2	12186 ナ⸢ラー⸣シェー　⸣ミサムヌ	["(教えればいいのに)","(教えれば良いのに)"]
2	12095 ナ⸢マジラ⸣シバ	["(拗らせよ)","(焦らせよ)"]
2	12095 ナ⸢マジラ⸣シェー　⸣ミサムヌ	["(拗らせばいいのに)","(焦らせばいいのに)"]
2	11969 ⸢ナシケー⸣　ミサムヌ	["(言い訳にすればいいのに)","(かこつければいいのに)"]
2	10747 ⸢ティーダラ⸣シ	["(手をたたいて諌めよ)","(手を打ち据えろ)"]
2	10182 タ⸢ルガキリ	["(当てしろ{EOS}他人を頼れ)","(頼りにしなさい)"]
